LOCATION,SUBJECT,MEASURE,TIME,Value
AUS,TOT,PC_GDP,2018,9.285
AUS,TOT,PC_GDP,2019,9.334
AUS,OOPEXP,USD_CAP,1971,38.036
AUS,OOPEXP,USD_CAP,1972,41.058
AUS,OOPEXP,USD_CAP,1973,45.525
AUS,OOPEXP,USD_CAP,1974,63.485
AUS,OOPEXP,USD_CAP,1975,60.046
AUS,OOPEXP,USD_CAP,1976,63.861
AUS,OOPEXP,USD_CAP,1977,63.612
AUS,OOPEXP,USD_CAP,1978,76.501
AUS,OOPEXP,USD_CAP,1979,83.368
AUS,OOPEXP,USD_CAP,1980,95.422
AUS,OOPEXP,USD_CAP,1981,99.479
AUS,OOPEXP,USD_CAP,1982,95.79
AUS,OOPEXP,USD_CAP,1983,112.754
AUS,OOPEXP,USD_CAP,1984,114.296
AUS,OOPEXP,USD_CAP,1985,125.515
AUS,OOPEXP,USD_CAP,1986,132.674
AUS,OOPEXP,USD_CAP,1987,140.866
AUS,OOPEXP,USD_CAP,1988,161.565
AUS,OOPEXP,USD_CAP,1989,176.613
AUS,OOPEXP,USD_CAP,1990,198.063
AUS,OOPEXP,USD_CAP,1991,216.468
AUS,OOPEXP,USD_CAP,1992,233.118
AUS,OOPEXP,USD_CAP,1993,246.76
AUS,OOPEXP,USD_CAP,1994,262.612
AUS,OOPEXP,USD_CAP,1995,259.602
AUS,OOPEXP,USD_CAP,1996,293.664
AUS,OOPEXP,USD_CAP,1997,308.676
AUS,OOPEXP,USD_CAP,1998,387.179
AUS,OOPEXP,USD_CAP,1999,386.848
AUS,OOPEXP,USD_CAP,2000,452.207
AUS,OOPEXP,USD_CAP,2001,467.919
AUS,OOPEXP,USD_CAP,2002,494.223
AUS,OOPEXP,USD_CAP,2003,493.458
AUS,OOPEXP,USD_CAP,2004,541.335
AUS,OOPEXP,USD_CAP,2005,564.235
AUS,OOPEXP,USD_CAP,2006,591.511
AUS,OOPEXP,USD_CAP,2007,607.639
AUS,OOPEXP,USD_CAP,2008,637.921
AUS,OOPEXP,USD_CAP,2009,651.966
AUS,OOPEXP,USD_CAP,2010,710.008
AUS,OOPEXP,USD_CAP,2011,730.301
AUS,OOPEXP,USD_CAP,2012,768.307
AUS,OOPEXP,USD_CAP,2013,806.565
AUS,OOPEXP,USD_CAP,2014,821.773
AUS,OOPEXP,USD_CAP,2015,830.095
AUS,OOPEXP,USD_CAP,2016,844.63
AUS,OOPEXP,USD_CAP,2017,845.174
AUT,TOT,PC_GDP,1970,4.838
AUT,TOT,PC_GDP,1971,4.77
AUT,TOT,PC_GDP,1972,4.765
AUT,TOT,PC_GDP,1973,4.857
AUT,TOT,PC_GDP,1974,5.086
AUT,TOT,PC_GDP,1975,6.507
AUT,TOT,PC_GDP,1976,6.74
AUT,TOT,PC_GDP,1977,6.681
AUT,TOT,PC_GDP,1978,6.949
AUT,TOT,PC_GDP,1979,6.924
AUT,TOT,PC_GDP,1980,7.022
AUT,TOT,PC_GDP,1981,6.024
AUT,TOT,PC_GDP,1982,5.999
AUT,TOT,PC_GDP,1983,5.832
AUT,TOT,PC_GDP,1984,5.879
AUT,TOT,PC_GDP,1985,6.008
AUT,TOT,PC_GDP,1986,6.115
AUT,TOT,PC_GDP,1987,6.405
AUT,TOT,PC_GDP,1988,6.397
AUT,TOT,PC_GDP,1989,6.54
AUT,TOT,PC_GDP,1990,7.718
AUT,TOT,PC_GDP,1991,7.782
AUT,TOT,PC_GDP,1992,8.077
AUT,TOT,PC_GDP,1993,8.601
AUT,TOT,PC_GDP,1994,8.99
AUT,TOT,PC_GDP,1995,8.924
AUT,TOT,PC_GDP,1996,8.884
AUT,TOT,PC_GDP,1997,8.984
AUT,TOT,PC_GDP,1998,9.15
AUT,TOT,PC_GDP,1999,9.302
AUT,TOT,PC_GDP,2000,9.204
AUT,TOT,PC_GDP,2001,9.269
AUT,TOT,PC_GDP,2002,9.395
AUT,TOT,PC_GDP,2003,9.547
AUT,TOT,PC_GDP,2004,9.709
AUT,TOT,PC_GDP,2005,9.627
AUT,TOT,PC_GDP,2006,9.531
AUT,TOT,PC_GDP,2007,9.532
AUT,TOT,PC_GDP,2008,9.726
AUT,TOT,PC_GDP,2009,10.226
AUT,TOT,PC_GDP,2010,10.221
AUT,TOT,PC_GDP,2011,10.026
AUT,TOT,PC_GDP,2012,10.199
AUT,TOT,PC_GDP,2013,10.286
AUT,TOT,PC_GDP,2014,10.368
AUT,TOT,PC_GDP,2015,10.368
AUT,TOT,PC_GDP,2016,10.361
AUT,TOT,PC_GDP,2017,10.356
AUT,TOT,PC_GDP,2018,10.316
AUT,TOT,PC_GDP,2019,10.408
BEL,TOT,PC_GDP,1970,3.856
BEL,TOT,PC_GDP,1971,3.943
BEL,TOT,PC_GDP,1972,4.098
BEL,TOT,PC_GDP,1973,4.378
BEL,TOT,PC_GDP,1974,4.443
BEL,TOT,PC_GDP,1975,5.547
BEL,TOT,PC_GDP,1976,5.755
BEL,TOT,PC_GDP,1977,6.226
BEL,TOT,PC_GDP,1978,6.416
BEL,TOT,PC_GDP,1979,6.398
BEL,TOT,PC_GDP,1980,6.181
BEL,TOT,PC_GDP,1981,6.596
BEL,TOT,PC_GDP,1982,6.824
BEL,TOT,PC_GDP,1983,6.991
BEL,TOT,PC_GDP,1984,6.833
BEL,TOT,PC_GDP,1985,6.883
BEL,TOT,PC_GDP,1986,7.054
BEL,TOT,PC_GDP,1987,7.162
BEL,TOT,PC_GDP,1988,7.161
BEL,TOT,PC_GDP,1989,7.104
BEL,TOT,PC_GDP,1990,7.147
BEL,TOT,PC_GDP,1991,7.459
BEL,TOT,PC_GDP,1992,7.639
BEL,TOT,PC_GDP,1993,7.763
BEL,TOT,PC_GDP,1994,7.56
BEL,TOT,PC_GDP,1995,7.519
BEL,TOT,PC_GDP,1996,7.814
BEL,TOT,PC_GDP,1997,7.675
BEL,TOT,PC_GDP,1998,7.797
BEL,TOT,PC_GDP,1999,7.963
BEL,TOT,PC_GDP,2000,7.999
BEL,TOT,PC_GDP,2001,8.15
BEL,TOT,PC_GDP,2002,8.318
BEL,TOT,PC_GDP,2003,9.208
BEL,TOT,PC_GDP,2004,9.367
BEL,TOT,PC_GDP,2005,9.262
BEL,TOT,PC_GDP,2006,9.162
BEL,TOT,PC_GDP,2007,9.167
BEL,TOT,PC_GDP,2008,9.632
BEL,TOT,PC_GDP,2009,10.356
BEL,TOT,PC_GDP,2010,10.234
BEL,TOT,PC_GDP,2011,10.392
BEL,TOT,PC_GDP,2012,10.507
BEL,TOT,PC_GDP,2013,10.562
BEL,TOT,PC_GDP,2014,10.44
BEL,TOT,PC_GDP,2015,10.427
BEL,TOT,PC_GDP,2016,10.282
BEL,TOT,PC_GDP,2017,10.406
BEL,TOT,PC_GDP,2018,10.319
BEL,TOT,PC_GDP,2019,10.349
BEL,OOPEXP,USD_CAP,2003,615.912
BEL,OOPEXP,USD_CAP,2004,628.268
BEL,OOPEXP,USD_CAP,2005,634.089
BEL,OOPEXP,USD_CAP,2006,656.662
BEL,OOPEXP,USD_CAP,2007,691.171
BEL,OOPEXP,USD_CAP,2008,717.927
BEL,OOPEXP,USD_CAP,2009,743.549
BEL,OOPEXP,USD_CAP,2010,781.335
BEL,OOPEXP,USD_CAP,2011,804.492
BEL,OOPEXP,USD_CAP,2012,826.488
BEL,OOPEXP,USD_CAP,2013,875.827
BEL,OOPEXP,USD_CAP,2014,893.825
BEL,OOPEXP,USD_CAP,2015,907.434
BEL,OOPEXP,USD_CAP,2016,904.723
BEL,OOPEXP,USD_CAP,2017,953.995
BEL,OOPEXP,USD_CAP,2018,972.179
CAN,TOT,PC_GDP,1970,6.258
CAN,TOT,PC_GDP,1971,6.512
CAN,TOT,PC_GDP,1972,6.431
CAN,TOT,PC_GDP,1973,6.126
CAN,TOT,PC_GDP,1974,6.036
CAN,TOT,PC_GDP,1975,6.493
CAN,TOT,PC_GDP,1976,6.5
CAN,TOT,PC_GDP,1977,6.48
CAN,TOT,PC_GDP,1978,6.457
CAN,TOT,PC_GDP,1979,6.35
CAN,TOT,PC_GDP,1980,6.536
CAN,TOT,PC_GDP,1981,6.766
CAN,TOT,PC_GDP,1982,7.495
CAN,TOT,PC_GDP,1983,7.664
CAN,TOT,PC_GDP,1984,7.551
CAN,TOT,PC_GDP,1985,7.558
CAN,TOT,PC_GDP,1986,7.798
CAN,TOT,PC_GDP,1987,7.739
CAN,TOT,PC_GDP,1988,7.738
CAN,TOT,PC_GDP,1989,7.946
CAN,TOT,PC_GDP,1990,8.364
CAN,TOT,PC_GDP,1991,9.048
CAN,TOT,PC_GDP,1992,9.3
CAN,TOT,PC_GDP,1993,9.186
CAN,TOT,PC_GDP,1994,8.835
CAN,TOT,PC_GDP,1995,8.532
CAN,TOT,PC_GDP,1996,8.335
CAN,TOT,PC_GDP,1997,8.317
CAN,TOT,PC_GDP,1998,8.547
CAN,TOT,PC_GDP,1999,8.329
CAN,TOT,PC_GDP,2000,8.248
CAN,TOT,PC_GDP,2001,8.625
CAN,TOT,PC_GDP,2002,8.857
CAN,TOT,PC_GDP,2003,9.011
CAN,TOT,PC_GDP,2004,9.066
CAN,TOT,PC_GDP,2005,9.035
CAN,TOT,PC_GDP,2006,9.318
CAN,TOT,PC_GDP,2007,9.414
CAN,TOT,PC_GDP,2008,9.575
CAN,TOT,PC_GDP,2009,10.682
CAN,TOT,PC_GDP,2010,10.659
CAN,TOT,PC_GDP,2011,10.315
CAN,TOT,PC_GDP,2012,10.429
CAN,TOT,PC_GDP,2013,10.34
CAN,TOT,PC_GDP,2014,10.25
CAN,TOT,PC_GDP,2015,10.683
CAN,TOT,PC_GDP,2016,10.979
CAN,TOT,PC_GDP,2017,10.79
CAN,TOT,PC_GDP,2018,10.79
CAN,TOT,PC_GDP,2019,10.79
CAN,OOPEXP,USD_CAP,1988,223.963
CAN,OOPEXP,USD_CAP,1989,238.059
CAN,OOPEXP,USD_CAP,1990,254.274
CAN,OOPEXP,USD_CAP,1991,265.285
CAN,OOPEXP,USD_CAP,1992,278.596
CAN,OOPEXP,USD_CAP,1993,296.462
CAN,OOPEXP,USD_CAP,1994,314.322
CAN,OOPEXP,USD_CAP,1995,327.392
CAN,OOPEXP,USD_CAP,1996,334.855
CAN,OOPEXP,USD_CAP,1997,363.29
CAN,OOPEXP,USD_CAP,1998,368.417
CAN,OOPEXP,USD_CAP,1999,388.847
CAN,OOPEXP,USD_CAP,2000,406.989
CAN,OOPEXP,USD_CAP,2001,417.7
CAN,OOPEXP,USD_CAP,2002,438.762
CAN,OOPEXP,USD_CAP,2003,444.204
CAN,OOPEXP,USD_CAP,2004,477.106
CAN,OOPEXP,USD_CAP,2005,505.911
CAN,OOPEXP,USD_CAP,2006,544.159
CAN,OOPEXP,USD_CAP,2007,567.614
CAN,OOPEXP,USD_CAP,2008,584.815
CAN,OOPEXP,USD_CAP,2009,587.067
CAN,OOPEXP,USD_CAP,2010,630.669
CAN,OOPEXP,USD_CAP,2011,607.985
CAN,OOPEXP,USD_CAP,2012,613.751
CAN,OOPEXP,USD_CAP,2013,616.354
CAN,OOPEXP,USD_CAP,2014,661.359
CAN,OOPEXP,USD_CAP,2015,656.492
CAN,OOPEXP,USD_CAP,2016,761.404
CAN,OOPEXP,USD_CAP,2017,772.157
CAN,OOPEXP,USD_CAP,2018,778.767
CAN,OOPEXP,USD_CAP,2019,795.389
CZE,TOT,PC_GDP,1990,3.736
CZE,TOT,PC_GDP,1991,3.872
CZE,TOT,PC_GDP,1992,3.995
CZE,TOT,PC_GDP,1993,5.351
CZE,TOT,PC_GDP,1994,5.513
CZE,TOT,PC_GDP,1995,5.736
CZE,TOT,PC_GDP,1996,5.62
CZE,TOT,PC_GDP,1997,5.631
CZE,TOT,PC_GDP,1998,5.62
CZE,TOT,PC_GDP,1999,5.796
CZE,TOT,PC_GDP,2000,5.718
CZE,TOT,PC_GDP,2001,5.888
CZE,TOT,PC_GDP,2002,6.199
CZE,TOT,PC_GDP,2003,6.554
CZE,TOT,PC_GDP,2004,6.385
CZE,TOT,PC_GDP,2005,6.381
CZE,TOT,PC_GDP,2006,6.196
CZE,TOT,PC_GDP,2007,6.016
CZE,TOT,PC_GDP,2008,6.36
CZE,TOT,PC_GDP,2009,7.293
CZE,TOT,PC_GDP,2010,6.928
CZE,TOT,PC_GDP,2011,6.977
CZE,TOT,PC_GDP,2012,7.028
CZE,TOT,PC_GDP,2013,7.807
CZE,TOT,PC_GDP,2014,7.653
CZE,TOT,PC_GDP,2015,7.243
CZE,TOT,PC_GDP,2016,7.15
CZE,TOT,PC_GDP,2017,7.231
CZE,TOT,PC_GDP,2018,7.647
CZE,TOT,PC_GDP,2019,7.759
CZE,OOPEXP,USD_CAP,1990,14.462
CZE,OOPEXP,USD_CAP,1991,16.583
CZE,OOPEXP,USD_CAP,1992,24.368
CZE,OOPEXP,USD_CAP,1993,39.262
CZE,OOPEXP,USD_CAP,1994,50.957
CZE,OOPEXP,USD_CAP,1995,83.447
CZE,OOPEXP,USD_CAP,1996,88.863
CZE,OOPEXP,USD_CAP,1997,92.59
CZE,OOPEXP,USD_CAP,1998,93.384
CZE,OOPEXP,USD_CAP,1999,95.105
CZE,OOPEXP,USD_CAP,2000,104.579
CZE,OOPEXP,USD_CAP,2001,123.424
CZE,OOPEXP,USD_CAP,2002,126.79
CZE,OOPEXP,USD_CAP,2003,144.488
CZE,OOPEXP,USD_CAP,2004,156.724
CZE,OOPEXP,USD_CAP,2005,168.988
CZE,OOPEXP,USD_CAP,2006,181.566
CZE,OOPEXP,USD_CAP,2007,226.256
CZE,OOPEXP,USD_CAP,2008,294.094
CZE,OOPEXP,USD_CAP,2009,309.091
CZE,OOPEXP,USD_CAP,2010,305.183
CZE,OOPEXP,USD_CAP,2011,306.723
CZE,OOPEXP,USD_CAP,2012,319.666
CZE,OOPEXP,USD_CAP,2013,332.654
CZE,OOPEXP,USD_CAP,2014,361.148
CZE,OOPEXP,USD_CAP,2015,377.458
CZE,OOPEXP,USD_CAP,2016,401.268
CZE,OOPEXP,USD_CAP,2017,428.195
CZE,OOPEXP,USD_CAP,2018,449.937
DNK,TOT,PC_GDP,1971,7.677
DNK,TOT,PC_GDP,1972,7.768
DNK,TOT,PC_GDP,1973,7.585
DNK,TOT,PC_GDP,1974,8.291
DNK,TOT,PC_GDP,1975,8.536
DNK,TOT,PC_GDP,1976,8.441
DNK,TOT,PC_GDP,1977,8.259
DNK,TOT,PC_GDP,1978,8.377
DNK,TOT,PC_GDP,1979,8.474
DNK,TOT,PC_GDP,1980,8.416
DNK,TOT,PC_GDP,1981,8.575
DNK,TOT,PC_GDP,1982,8.624
DNK,TOT,PC_GDP,1983,8.418
DNK,TOT,PC_GDP,1984,7.97
DNK,TOT,PC_GDP,1985,7.947
DNK,TOT,PC_GDP,1986,7.734
DNK,TOT,PC_GDP,1987,8.054
DNK,TOT,PC_GDP,1988,8.191
DNK,TOT,PC_GDP,1989,8.061
DNK,TOT,PC_GDP,1990,8.038
DNK,TOT,PC_GDP,1991,7.94
DNK,TOT,PC_GDP,1992,7.956
DNK,TOT,PC_GDP,1993,8.289
DNK,TOT,PC_GDP,1994,8.077
DNK,TOT,PC_GDP,1995,7.771
DNK,TOT,PC_GDP,1996,7.839
DNK,TOT,PC_GDP,1997,7.75
DNK,TOT,PC_GDP,1998,7.552
DNK,TOT,PC_GDP,1999,8.342
DNK,TOT,PC_GDP,2000,8.104
DNK,TOT,PC_GDP,2001,8.448
DNK,TOT,PC_GDP,2002,8.703
DNK,TOT,PC_GDP,2003,8.904
DNK,TOT,PC_GDP,2004,9.007
DNK,TOT,PC_GDP,2005,9.091
DNK,TOT,PC_GDP,2006,9.169
DNK,TOT,PC_GDP,2007,9.325
DNK,TOT,PC_GDP,2008,9.511
DNK,TOT,PC_GDP,2009,10.674
DNK,TOT,PC_GDP,2010,10.333
DNK,TOT,PC_GDP,2011,10.153
DNK,TOT,PC_GDP,2012,10.241
DNK,TOT,PC_GDP,2013,10.17
DNK,TOT,PC_GDP,2014,10.172
DNK,TOT,PC_GDP,2015,10.227
DNK,TOT,PC_GDP,2016,10.145
DNK,TOT,PC_GDP,2017,10.122
DNK,TOT,PC_GDP,2018,10.105
DNK,TOT,PC_GDP,2019,10.031
DNK,OOPEXP,USD_CAP,1970,47.384
DNK,OOPEXP,USD_CAP,1971,52.174
DNK,OOPEXP,USD_CAP,1972,55.676
DNK,OOPEXP,USD_CAP,1973,60.32
DNK,OOPEXP,USD_CAP,1974,64.527
DNK,OOPEXP,USD_CAP,1975,69.731
DNK,OOPEXP,USD_CAP,1976,67.804
DNK,OOPEXP,USD_CAP,1977,75.239
DNK,OOPEXP,USD_CAP,1978,81.634
DNK,OOPEXP,USD_CAP,1979,83.891
DNK,OOPEXP,USD_CAP,1980,94.489
DNK,OOPEXP,USD_CAP,1981,104.416
DNK,OOPEXP,USD_CAP,1982,115.765
DNK,OOPEXP,USD_CAP,1983,129.986
DNK,OOPEXP,USD_CAP,1984,140.475
DNK,OOPEXP,USD_CAP,1985,156.907
DNK,OOPEXP,USD_CAP,1986,177.228
DNK,OOPEXP,USD_CAP,1987,189.44
DNK,OOPEXP,USD_CAP,1988,190.53
DNK,OOPEXP,USD_CAP,1989,201.03
DNK,OOPEXP,USD_CAP,1990,234.925
DNK,OOPEXP,USD_CAP,1991,230.622
DNK,OOPEXP,USD_CAP,1992,247.231
DNK,OOPEXP,USD_CAP,1993,274.06
DNK,OOPEXP,USD_CAP,1994,292.939
DNK,OOPEXP,USD_CAP,1995,287.236
DNK,OOPEXP,USD_CAP,1996,303.045
DNK,OOPEXP,USD_CAP,1997,318.816
DNK,OOPEXP,USD_CAP,1998,331.523
DNK,OOPEXP,USD_CAP,1999,334.066
DNK,OOPEXP,USD_CAP,2000,360.048
DNK,OOPEXP,USD_CAP,2001,373.519
DNK,OOPEXP,USD_CAP,2002,399.385
DNK,OOPEXP,USD_CAP,2003,396.374
DNK,OOPEXP,USD_CAP,2004,434.323
DNK,OOPEXP,USD_CAP,2005,443.48
DNK,OOPEXP,USD_CAP,2006,477.455
DNK,OOPEXP,USD_CAP,2007,518.655
DNK,OOPEXP,USD_CAP,2008,533.329
DNK,OOPEXP,USD_CAP,2009,550.912
DNK,OOPEXP,USD_CAP,2010,598.441
DNK,OOPEXP,USD_CAP,2011,606.734
DNK,OOPEXP,USD_CAP,2012,610.981
DNK,OOPEXP,USD_CAP,2013,615.343
DNK,OOPEXP,USD_CAP,2014,624.847
DNK,OOPEXP,USD_CAP,2015,639.226
DNK,OOPEXP,USD_CAP,2016,664.995
DNK,OOPEXP,USD_CAP,2017,701.652
DNK,OOPEXP,USD_CAP,2018,728.795
FIN,TOT,PC_GDP,1970,4.989
FIN,TOT,PC_GDP,1971,5.29
FIN,TOT,PC_GDP,1972,5.385
FIN,TOT,PC_GDP,1973,5.234
FIN,TOT,PC_GDP,1974,5.172
FIN,TOT,PC_GDP,1975,5.654
FIN,TOT,PC_GDP,1976,5.993
FIN,TOT,PC_GDP,1977,6.196
FIN,TOT,PC_GDP,1978,6.136
FIN,TOT,PC_GDP,1979,5.989
FIN,TOT,PC_GDP,1980,5.916
FIN,TOT,PC_GDP,1981,6.04
FIN,TOT,PC_GDP,1982,6.133
FIN,TOT,PC_GDP,1983,6.222
FIN,TOT,PC_GDP,1984,6.266
FIN,TOT,PC_GDP,1985,6.658
FIN,TOT,PC_GDP,1986,6.758
FIN,TOT,PC_GDP,1987,6.897
FIN,TOT,PC_GDP,1988,6.703
FIN,TOT,PC_GDP,1989,6.743
FIN,TOT,PC_GDP,1990,7.253
FIN,TOT,PC_GDP,1991,8.32
FIN,TOT,PC_GDP,1992,8.521
FIN,TOT,PC_GDP,1993,7.833
FIN,TOT,PC_GDP,1994,7.285
FIN,TOT,PC_GDP,1995,7.355
FIN,TOT,PC_GDP,1996,7.474
FIN,TOT,PC_GDP,1997,7.128
FIN,TOT,PC_GDP,1998,6.818
FIN,TOT,PC_GDP,1999,6.798
FIN,TOT,PC_GDP,2000,7.139
FIN,TOT,PC_GDP,2001,7.281
FIN,TOT,PC_GDP,2002,7.598
FIN,TOT,PC_GDP,2003,7.906
FIN,TOT,PC_GDP,2004,8.032
FIN,TOT,PC_GDP,2005,8.261
FIN,TOT,PC_GDP,2006,8.259
FIN,TOT,PC_GDP,2007,8.06
FIN,TOT,PC_GDP,2008,8.333
FIN,TOT,PC_GDP,2009,9.142
FIN,TOT,PC_GDP,2010,9.114
FIN,TOT,PC_GDP,2011,9.193
FIN,TOT,PC_GDP,2012,9.554
FIN,TOT,PC_GDP,2013,9.774
FIN,TOT,PC_GDP,2014,9.735
FIN,TOT,PC_GDP,2015,9.645
FIN,TOT,PC_GDP,2016,9.378
FIN,TOT,PC_GDP,2017,9.182
FIN,TOT,PC_GDP,2018,9.039
FIN,TOT,PC_GDP,2019,9.086
FIN,OOPEXP,USD_CAP,1970,39.593
FIN,OOPEXP,USD_CAP,1971,45.258
FIN,OOPEXP,USD_CAP,1972,53.677
FIN,OOPEXP,USD_CAP,1973,54.57
FIN,OOPEXP,USD_CAP,1974,59.561
FIN,OOPEXP,USD_CAP,1975,57.619
FIN,OOPEXP,USD_CAP,1976,65.309
FIN,OOPEXP,USD_CAP,1977,69.719
FIN,OOPEXP,USD_CAP,1978,78.538
FIN,OOPEXP,USD_CAP,1979,87.385
FIN,OOPEXP,USD_CAP,1980,95.313
FIN,OOPEXP,USD_CAP,1981,103.898
FIN,OOPEXP,USD_CAP,1982,112.184
FIN,OOPEXP,USD_CAP,1983,127.736
FIN,OOPEXP,USD_CAP,1984,140.457
FIN,OOPEXP,USD_CAP,1985,154.9
FIN,OOPEXP,USD_CAP,1986,158.314
FIN,OOPEXP,USD_CAP,1987,170.675
FIN,OOPEXP,USD_CAP,1988,184.203
FIN,OOPEXP,USD_CAP,1989,195.666
FIN,OOPEXP,USD_CAP,1990,205.258
FIN,OOPEXP,USD_CAP,1991,219.369
FIN,OOPEXP,USD_CAP,1992,227.702
FIN,OOPEXP,USD_CAP,1993,253.553
FIN,OOPEXP,USD_CAP,1994,256.026
FIN,OOPEXP,USD_CAP,1995,316.958
FIN,OOPEXP,USD_CAP,1996,335.228
FIN,OOPEXP,USD_CAP,1997,342.486
FIN,OOPEXP,USD_CAP,1998,343.673
FIN,OOPEXP,USD_CAP,1999,376.409
FIN,OOPEXP,USD_CAP,2000,442.136
FIN,OOPEXP,USD_CAP,2001,453.979
FIN,OOPEXP,USD_CAP,2002,460.307
FIN,OOPEXP,USD_CAP,2003,467.191
FIN,OOPEXP,USD_CAP,2004,496.839
FIN,OOPEXP,USD_CAP,2005,508.563
FIN,OOPEXP,USD_CAP,2006,522.248
FIN,OOPEXP,USD_CAP,2007,574.783
FIN,OOPEXP,USD_CAP,2008,607.319
FIN,OOPEXP,USD_CAP,2009,608.44
FIN,OOPEXP,USD_CAP,2010,651.019
FIN,OOPEXP,USD_CAP,2011,660.685
FIN,OOPEXP,USD_CAP,2012,668.527
FIN,OOPEXP,USD_CAP,2013,707.357
FIN,OOPEXP,USD_CAP,2014,705.818
FIN,OOPEXP,USD_CAP,2015,752.003
FIN,OOPEXP,USD_CAP,2016,790.849
FIN,OOPEXP,USD_CAP,2017,817.67
FIN,OOPEXP,USD_CAP,2018,798.338
FRA,TOT,PC_GDP,1970,5.201
FRA,TOT,PC_GDP,1975,6.156
FRA,TOT,PC_GDP,1980,6.759
FRA,TOT,PC_GDP,1985,7.671
FRA,TOT,PC_GDP,1990,7.997
FRA,TOT,PC_GDP,1991,8.221
FRA,TOT,PC_GDP,1992,8.446
FRA,TOT,PC_GDP,1993,8.857
FRA,TOT,PC_GDP,1994,8.841
FRA,TOT,PC_GDP,1995,9.884
FRA,TOT,PC_GDP,1996,9.886
FRA,TOT,PC_GDP,1997,9.761
FRA,TOT,PC_GDP,1998,9.659
FRA,TOT,PC_GDP,1999,9.66
FRA,TOT,PC_GDP,2000,9.584
FRA,TOT,PC_GDP,2001,9.706
FRA,TOT,PC_GDP,2002,10.022
FRA,TOT,PC_GDP,2003,10.083
FRA,TOT,PC_GDP,2004,10.164
FRA,TOT,PC_GDP,2005,10.215
FRA,TOT,PC_GDP,2006,10.393
FRA,TOT,PC_GDP,2007,10.331
FRA,TOT,PC_GDP,2008,10.512
FRA,TOT,PC_GDP,2009,11.297
FRA,TOT,PC_GDP,2010,11.24
FRA,TOT,PC_GDP,2011,11.202
FRA,TOT,PC_GDP,2012,11.313
FRA,TOT,PC_GDP,2013,11.436
FRA,TOT,PC_GDP,2014,11.581
FRA,TOT,PC_GDP,2015,11.466
FRA,TOT,PC_GDP,2016,11.501
FRA,TOT,PC_GDP,2017,11.401
FRA,TOT,PC_GDP,2018,11.294
FRA,TOT,PC_GDP,2019,11.186
FRA,OOPEXP,USD_CAP,1970,34.621
FRA,OOPEXP,USD_CAP,1975,56.124
FRA,OOPEXP,USD_CAP,1980,86.217
FRA,OOPEXP,USD_CAP,1985,147.11
FRA,OOPEXP,USD_CAP,1990,170.418
FRA,OOPEXP,USD_CAP,1991,187.45
FRA,OOPEXP,USD_CAP,1992,193.987
FRA,OOPEXP,USD_CAP,1993,203.937
FRA,OOPEXP,USD_CAP,1994,206.074
FRA,OOPEXP,USD_CAP,1995,164.193
FRA,OOPEXP,USD_CAP,1996,163.236
FRA,OOPEXP,USD_CAP,1997,165.128
FRA,OOPEXP,USD_CAP,1998,169.508
FRA,OOPEXP,USD_CAP,1999,178.629
FRA,OOPEXP,USD_CAP,2000,195.385
FRA,OOPEXP,USD_CAP,2001,210.814
FRA,OOPEXP,USD_CAP,2002,224.99
